#                  NOMINAL TIMING        EARLY TIMING       LATE TIMING
#    mo. yr.  mean +2sig -2sig ap mean +2sig -2sig ap mean +2sig -2sig ap

      2 2021   188  228  131   16  184  217  134   16  182  223  124   16
      3 2021   188  226  133   16  182  217  135   16  183  224  126   16
      4 2021   188  226  133   16  181  214  134   16  185  225  126   16
      5 2021   187  225  133   16  179  211  133   16  186  226  127   16
      6 2021   187  224  133   16  178  208  132   16  187  227  128   16
      7 2021   186  223  134   16  176  205  132   15  187  229  130   16
      8 2021   185  220  134   16  174  203  131   15  188  228  130   16
      9 2021   184  218  133   16  172  199  131   15  188  228  130   16
     10 2021   182  218  134   16  169  196  131   15  188  227  132   16
     11 2021   181  215  133   16  167  193  129   15  188  227  132   16
     12 2021   179  211  132   16  165  189  128   15  187  226  132   16
      1 2022   178  209  131   16  162  186  127   14  187  224  132   16
      2 2022   176  205  131   15  160  183  126   14  186  224  133   16
      3 2022   174  203  130   15  157  178  125   14  185  221  133   16
      4 2022   172  200  130   15  154  175  124   14  184  218  132   16
      5 2022   169  197  130   15  152  172  123   14  182  218  133   16
      6 2022   167  193  128   15  149  167  122   13  181  216  132   16
      7 2022   165  190  128   15  146  164  120   13  179  212  132   16
      8 2022   162  187  126   14  143  161  119   13  178  209  130   16
      9 2022   160  183  126   14  141  156  117   13  176  206  130   15
     10 2022   157  178  124   14  138  153  116   13  174  204  130   15
     11 2022   154  175  123   14  135  150  114   12  172  200  129   15
     12 2022   152  172  123   14  132  145  113   12  169  197  129   15
      1 2023   149  167  121   13  130  141  111   12  167  194  127   15
      2 2023   146  164  120   13  127  138  109   12  165  190  127   15
      3 2023   143  161  119   13  124  135  108   12  162  187  126   14
      4 2023   141  156  117   13  122  130  106   12  160  183  125   14
      5 2023   138  153  115   13  119  127  106   11  157  179  124   14
      6 2023   135  150  114   12  116  124  105   11  154  176  123   14
      7 2023   132  145  113   12  114  120  103   11  152  172  122   14
      8 2023   130  142  110   12  111  119  102   11  149  168  121   13
      9 2023   127  139  109   12  109  115  100   11  146  165  120   13
     10 2023   124  136  108   12  107  112   98   10  143  162  118   13
     11 2023   122  130  106   12  104  110   97   10  141  156  116   13
     12 2023   119  127  106   11  102  107   96   10  138  153  115   13
      1 2024   116  124  105   11  100  105   94   10  135  150  114   12
      2 2024   114  121  103   11   98  101   92   10  132  146  112   12
      3 2024   111  119  102   11   96   99   90   10  130  142  110   12
      4 2024   109  116  100   11   94   97   90    9  127  139  109   12
      5 2024   107  112   98   10   92   95   88    9  124  136  108   12
      6 2024   104  111   96   10   90   93   88    9  122  130  106   12
      7 2024   102  107   96   10   88   91   86    9  119  127  106   11
      8 2024   100  105   94   10   87   88   85    9  116  124  105   11
      9 2024    98  101   92   10   85   86   83    9  114  121  103   11
     10 2024    96   99   90   10   84   85   82    9  111  119  102   11
     11 2024    94   97   90    9   82   83   82    9  109  116  100   11
     12 2024    92   95   88    9   81   82   81    8  107  112   98   10
      1 2025    90   93   88    9   79   80   79    8  104  111   96   10
      2 2025    88   91   86    9   78   79   78    8  102  107   96   10
      3 2025    87   88   85    9   77   78   77    8  100  105   94   10
      4 2025    85   86   83    9   76   76   76    8   98  101   92   10
      5 2025    84   85   82    9   75   75   75    8   96   99   90   10
      6 2025    82   83   82    9   74   74   74    8   94   97   90    9
      7 2025    81   82   81    8   73   73   73    8   92   95   88    9
      8 2025    79   80   79    8   72   72   72    8   90   93   88    9
      9 2025    78   79   78    8   71   71   71    8   88   91   86    9
     10 2025    77   78   77    8   70   71   71    8   87   88   85    9
     11 2025    76   76   76    8   69   71   70    8   85   86   83    9
     12 2025    75   75   75    8   69   71   69    8   84   85   82    9
      1 2026    74   74   74    8   69   71   69    8   82   83   82    9
      2 2026    73   73   73    8   69   71   67    8   81   82   81    8
      3 2026    72   72   72    8   69   71   67    8   79   80   79    8
      4 2026    71   71   71    8   69   71   67    8   78   79   78    8
      5 2026    70   71   71    8   69   71   67    8   77   78   77    8
      6 2026    69   71   70    8   69   71   67    8   76   76   76    8
      7 2026    69   71   69    8   69   71   67    8   75   75   75    8
      8 2026    69   71   69    8   69   71   67    8   74   74   74    8
      9 2026    69   71   67    8   69   71   67    8   73   73   73    8
     10 2026    69   71   67    8   69   71   67    8   72   72   72    8
     11 2026    69   71   67    8   69   71   67    8   71   71   71    8
     12 2026    69   71   67    8   69   71   67    8   70   71   71    8
      1 2027    69   71   67    8   69   71   67    8   69   71   70    8
      2 2027    69   71   67    8   69   71   67    8   69   71   69    8
      3 2027    69   71   67    8   69   71   67    8   69   71   69    8
      4 2027    69   71   67    8   69   71   67    8   69   71   67    8
      5 2027    69   71   67    8   69   71   67    8   69   71   67    8
      6 2027    69   71   67    8   69   71   67    8   69   71   67    8
      7 2027    69   71   67    8   69   71   67    8   69   71   67    8
      8 2027    69   71   67    8   69   72   67    8   69   71   67    8
      9 2027    69   71   67    8   70   75   67    8   69   71   67    8
     10 2027    69   71   67    8   72   79   67    8   69   71   67    8
     11 2027    69   71   67    8   74   83   67    8   69   71   67    8
     12 2027    69   71   67    8   77   86   67    8   69   71   67    8
      1 2028    77   84   67    8  102  117   80   10   69   71   67    8
      2 2028    80   88   68    8  106  124   82   10   69   71   67    8
      3 2028    83   93   69    9  110  130   85   11   69   71   67    8
      4 2028    87   97   72    9  115  135   87   11   69   71   67    8
      5 2028    90  103   73    9  119  141   89   11   70   74   67    8
      6 2028    94  108   74    9  123  146   92   12   72   77   67    8
      7 2028    98  112   77   10  127  153   94   12   74   81   67    8
      8 2028   102  118   79   10  132  158   96   12   77   84   67    8
      9 2028   106  125   82   10  136  164   98   13   80   88   68    8
     10 2028   110  130   84   11  140  169  101   13   83   93   69    9
     11 2028   115  135   86   11  144  173  103   13   87   97   72    9
     12 2028   119  141   89   11  148  179  104   13   90  103   73    9
      1 2029   123  147   91   12  152  185  107   14   94  109   74    9
      2 2029   127  154   93   12  155  189  109   14   98  113   76   10
      3 2029   132  159   95   12  159  193  112   14  102  118   79   10
      4 2029   136  164   98   13  162  198  113   14  106  125   81   10
      5 2029   140  170  100   13  165  201  116   15  110  131   84   11
      6 2029   144  174  102   13  168  206  117   15  115  136   86   11
      7 2029   148  180  103   13  171  209  119   15  119  141   88   11
      8 2029   152  185  106   14  174  212  120   15  123  147   90   12
      9 2029   155  190  109   14  176  214  122   15  127  154   93   12
     10 2029   159  194  111   14  178  217  124   16  132  159   95   12
     11 2029   162  199  112   14  180  220  126   16  136  165   97   13
     12 2029   165  202  115   15  182  222  126   16  140  170   99   13
      1 2030   168  206  116   15  183  223  128   16  144  175  102   13
      2 2030   171  209  118   15  185  223  129   16  148  180  102   13
      3 2030   174  212  119   15  186  224  129   16  152  186  105   14
      4 2030   176  215  121   15  187  226  130   16  155  190  108   14
      5 2030   178  218  123   16  187  227  132   16  159  195  110   14
      6 2030   180  220  125   16  188  227  133   16  162  199  111   14
      7 2030   182  222  125   16  188  227  132   16  165  202  114   15
      8 2030   183  224  127   16  188  225  134   16  168  207  115   15
      9 2030   185  224  128   16  188  226  134   16  171  210  117   15
     10 2030   186  225  128   16  187  225  134   16  174  213  118   15
     11 2030   187  226  129   16  187  223  134   16  176  215  120   15
     12 2030   187  228  131   16  186  222  134   16  178  219  122   16
      1 2031   188  228  132   16  185  220  135   16  180  221  124   16
      2 2031   188  228  131   16  184  217  134   16  182  223  124   16
      3 2031   188  226  133   16  182  217  135   16  183  224  126   16
      4 2031   188  226  133   16  181  214  134   16  185  225  126   16
      5 2031   187  225  133   16  179  211  133   16  186  226  127   16
      6 2031   187  224  133   16  178  208  132   16  187  227  128   16
      7 2031   186  223  134   16  176  205  132   15  187  229  130   16
      8 2031   185  220  134   16  174  203  131   15  188  228  130   16
      9 2031   184  218  133   16  172  199  131   15  188  228  130   16
     10 2031   182  218  134   16  169  196  131   15  188  227  132   16
     11 2031   181  215  133   16  167  193  129   15  188  227  132   16
     12 2031   179  211  132   16  165  189  128   15  187  226  132   16
      1 2032   178  209  131   16  162  186  127   14  187  224  132   16
      2 2032   176  205  131   15  160  183  126   14  186  224  133   16
      3 2032   174  203  130   15  157  178  125   14  185  221  133   16
      4 2032   172  200  130   15  154  175  124   14  184  218  132   16
      5 2032   169  197  130   15  152  172  123   14  182  218  133   16
      6 2032   167  193  128   15  149  167  122   13  181  216  132   16
      7 2032   165  190  128   15  146  164  120   13  179  212  132   16
      8 2032   162  187  126   14  143  161  119   13  178  209  130   16
      9 2032   160  183  126   14  141  156  117   13  176  206  130   15
     10 2032   157  178  124   14  138  153  116   13  174  204  130   15
     11 2032   154  175  123   14  135  150  114   12  172  200  129   15
     12 2032   152  172  123   14  132  145  113   12  169  197  129   15
      1 2033   149  167  121   13  130  141  111   12  167  194  127   15
      2 2033   146  164  120   13  127  138  109   12  165  190  127   15
      3 2033   143  161  119   13  124  135  108   12  162  187  126   14
      4 2033   141  156  117   13  122  130  106   12  160  183  125   14
      5 2033   138  153  115   13  119  127  106   11  157  179  124   14
      6 2033   135  150  114   12  116  124  105   11  154  176  123   14
      7 2033   132  145  113   12  114  120  103   11  152  172  122   14
      8 2033   130  142  110   12  111  119  102   11  149  168  121   13
      9 2033   127  139  109   12  109  115  100   11  146  165  120   13
     10 2033   124  136  108   12  107  112   98   10  143  162  118   13
     11 2033   122  130  106   12  104  110   97   10  141  156  116   13
     12 2033   119  127  106   11  102  107   96   10  138  153  115   13
      1 2034   116  124  105   11  100  105   94   10  135  150  114   12
      2 2034   114  121  103   11   98  101   92   10  132  146  112   12
      3 2034   111  119  102   11   96   99   90   10  130  142  110   12
      4 2034   109  116  100   11   94   97   90    9  127  139  109   12
      5 2034   107  112   98   10   92   95   88    9  124  136  108   12
      6 2034   104  111   96   10   90   93   88    9  122  130  106   12
      7 2034   102  107   96   10   88   91   86    9  119  127  106   11
      8 2034   100  105   94   10   87   88   85    9  116  124  105   11
      9 2034    98  101   92   10   85   86   83    9  114  121  103   11
     10 2034    96   99   90   10   84   85   82    9  111  119  102   11
     11 2034    94   97   90    9   82   83   82    9  109  116  100   11
     12 2034    92   95   88    9   81   82   81    8  107  112   98   10
      1 2035    90   93   88    9   79   80   79    8  104  111   96   10
      2 2035    88   91   86    9   78   79   78    8  102  107   96   10
      3 2035    87   88   85    9   77   78   77    8  100  105   94   10
      4 2035    85   86   83    9   76   76   76    8   98  101   92   10
      5 2035    84   85   82    9   75   75   75    8   96   99   90   10
      6 2035    82   83   82    9   74   74   74    8   94   97   90    9
      7 2035    81   82   81    8   73   73   73    8   92   95   88    9
      8 2035    79   80   79    8   72   72   72    8   90   93   88    9
      9 2035    78   79   78    8   71   71   71    8   88   91   86    9
     10 2035    77   78   77    8   70   71   71    8   87   88   85    9
     11 2035    76   76   76    8   69   71   70    8   85   86   83    9
     12 2035    75   75   75    8   69   71   69    8   84   85   82    9
      1 2036    74   74   74    8   69   71   69    8   82   83   82    9
      2 2036    73   73   73    8   69   71   67    8   81   82   81    8
      3 2036    72   72   72    8   69   71   67    8   79   80   79    8
      4 2036    71   71   71    8   69   71   67    8   78   79   78    8
      5 2036    70   71   71    8   69   71   67    8   77   78   77    8
      6 2036    69   71   70    8   69   71   67    8   76   76   76    8
      7 2036    69   71   69    8   69   71   67    8   75   75   75    8
